fecha,cargo_fijo,cargo_fijo_final_dia,piso,piso_final,piso_limite,excedente,excedente_final
05-2025,2414.31,94.23597096774192,42.365,51.26165,350,101.036,122.25356
04-2025,2232.38,90.03932666666667,41.235,49.894349999999996,350,100.48,121.5808
03-2025,2156.88,84.18789677419355,40.329,48.79809,350,100.106,121.12825999999998
02-2025,2156.88,93.20802857142857,39.204,47.43684,350,98.043,118.63203
01-2025,2073.93,80.95017096774193,38.006,45.98726,350,96.639,116.93319
12-2024,1994.16,77.83656774193548,37.611,45.50930999999999,350,96.244,116.45523999999999
11-2024,1899.2,76.60106666666667,37.141,44.94061,350,95.775,115.88775
10-2024,1791.7,69.93409677419355,35.726,43.22846,350,94.36,114.1756
09-2024,1744.59,70.36513,34.808,42.11768,350,91.9,111.199
08-2024,1693.78,66.11205806451613,33.321,40.31840999999999,350,87.695,106.11094999999999
07-2024,1644.45,64.18659677419355,31.979,38.69459,350,83.961,101.59281
06-2024,1644.45,66.32615,31.979,38.69459,350,83.961,101.59281
05-2024,1644.45,64.18659677419355,12.623,,,,
04-2024,1644.45,66.32615,12.623,,,,
03-2024,1644.45,64.18659677419355,12.623,,,,
02-2024,1644.45,68.61325862068966,12.623,,,,
01-2024,428.51,16.725712903225805,6.773,,,,
12-2023,428.51,16.725712903225805,6.773,,,,
11-2023,428.51,17.283236666666667,6.773,,,,
10-2023,428.51,16.725712903225805,6.773,,,,
09-2023,428.51,17.283236666666667,6.773,,,,
08-2023,428.51,16.725712903225805,6.773,,,,
07-2023,428.51,16.725712903225805,6.542,,,,
06-2023,428.51,17.283236666666667,6.542,,,,
05-2023,246.75,9.631209677419355,5.572,,,,
04-2023,246.75,9.95225,5.572,,,,
03-2023,118.74,4.634690322580645,4.673,,,,
02-2023,118.74,5.131264285714286,4.673,,,,
01-2023,118.74,4.634690322580645,4.673,,,,
12-2022,118.74,4.634690322580645,4.673,,,,
06-2025,2491.23,100.47961,43.904,53.12384,350,102.914,124.52593999999999
07-2025,2508.2,97.90070967741934,45.308,54.82268,350,104.558,126.51518
